Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDG58,OUT027,3889.282362
FDK33,OUT017,3385.310999
NCD07,OUT045,1823.560002
NCX29,OUT027,3755.058697
NCT42,OUT013,2390.09498
DRN59,OUT035,1041.49926
FDI44,OUT035,1515.175676
FDA45,OUT049,2880.905017
FDP31,OUT045,1109.545011
FDY01,OUT046,1886.918877
FDT09,OUT018,1876.774783
DRH03,OUT027,3045.859571
FDA36,OUT018,2646.970107
NCF31,OUT017,2529.471053
FDG14,OUT049,2495.770178
FDG28,OUT027,5200.736367
FDU14,OUT049,3909.538449
FDY47,OUT019,302.215501
FDI56,OUT049,1625.142322
DRD01,OUT013,1076.344573
FDM22,OUT046,1024.418509
FDH33,OUT013,873.0343986
DRZ24,OUT013,1962.626852
NCQ38,OUT046,1744.567723
FDO16,OUT027,2891.617462
FDU07,OUT027,3824.070852
NCB07,OUT013,3050.300394
FDU48,OUT045,2059.157067
NCM43,OUT045,2530.914571
FDR31,OUT010,467.8724467
DRK49,OUT018,565.3579548
NCI30,OUT010,1902.562851
DRD60,OUT017,2926.422493
NCG19,OUT046,3605.333544
FDH12,OUT035,1886.878139
FDM32,OUT035,1696.059473
FDM27,OUT035,2617.073752
NCU53,OUT027,4060.683137
NCQ18,OUT046,1657.945057
FDS10,OUT013,2830.39493
FDB33,OUT027,3941.173028
FDI12,OUT013,1497.077924
NCW42,OUT013,3435.435233
NCC06,OUT018,1816.793806
FDW02,OUT017,2135.794058
NCD43,OUT017,1827.30984
FDM57,OUT018,1164.152503
FDA58,OUT017,3723.296683
FDK56,OUT046,2887.932576
FDP52,OUT045,3475.785116
FDW20,OUT018,1750.152407
FDS52,OUT049,1767.94532
NCT29,OUT018,1691.07512
NCL54,OUT013,2794.270218
FDC05,OUT045,3005.005655
FDF34,OUT035,3199.235834
FDP03,OUT027,3469.489877
FDD32,OUT010,1.87167441
FDZ10,OUT045,1993.004689
FDZ40,OUT035,1159.090458
FDD51,OUT018,603.4015773
NCY30,OUT019,995.2340045
FDP58,OUT017,3452.404243
FDV49,OUT017,4115.506612
FDY24,OUT019,1.87167441
NCO55,OUT017,1868.739439
FDR13,OUT017,2003.941149
FDS51,OUT017,1222.795736
FDP26,OUT045,1667.398983
NCB54,OUT027,3538.050187
FDF32,OUT017,3154.907291
FDN31,OUT018,2682.153951
DRM48,OUT017,851.9597857
FDN20,OUT049,2749.503952
DRL01,OUT046,3574.365012
FDV56,OUT049,1866.007097
DRH13,OUT027,3230.544014
FDA03,OUT017,2418.051255
FDF47,OUT027,4891.311283
FDX32,OUT046,2334.405448
FDX57,OUT049,1712.25401
NCA30,OUT045,2895.052923
FDO49,OUT013,973.9559528
FDL04,OUT019,1.87167441
DRM48,OUT035,918.2256835
FDR16,OUT013,3304.975035
NCC19,OUT018,2732.614728
NCE42,OUT045,3537.195981
FDY24,OUT017,1121.422337
FDH19,OUT049,2841.394329
FDJ46,OUT013,2748.513776
FDN45,OUT010,1614.623276
FDY08,OUT035,2386.707221
FDZ37,OUT035,1623.661342
NCT30,OUT045,847.2319038
DRY23,OUT018,576.7598884
NCZ30,OUT018,1717.791163
FDC44,OUT018,1598.281054
FDB45,OUT035,1881.195761
FDY04,OUT013,2602.888177
FDM27,OUT046,2511.940446
FDZ43,OUT017,3785.611238
FDT39,OUT019,582.553787
NCC06,OUT019,239.3375692
FDL15,OUT027,3886.007917
FDL57,OUT017,4018.385702
FDU08,OUT046,1651.284635
FDK40,OUT017,4112.194989
FDQ12,OUT010,1678.856743
FDS48,OUT017,2497.561654
FDP09,OUT045,3202.521919
FDW21,OUT049,1748.415899
FDY25,OUT035,2974.588858
DRE13,OUT017,1558.825333
FDV43,OUT019,1.87167441
FDD22,OUT045,1767.831515
FDM46,OUT019,1.87167441
NCO30,OUT010,1047.70095
FDM25,OUT046,2724.659289
NCN41,OUT049,2089.261361
FDU24,OUT045,1504.125696
FDZ50,OUT046,2867.499465
FDP45,OUT013,3864.785095
NCM54,OUT045,1973.927113
FDW10,OUT019,934.3121606
FDP20,OUT017,2164.84368
FDK32,OUT046,2400.031626
FDN52,OUT049,1586.609678
FDM58,OUT045,1757.822293
FDZ46,OUT027,3274.796213
NCA18,OUT018,1652.579652
FDD35,OUT046,1982.158053
NCK31,OUT035,1092.411882
FDI40,OUT027,3127.703549
FDT50,OUT019,1.87167441
NCT06,OUT046,2596.155179
FDT31,OUT035,3071.672591
FDT45,OUT049,1091.522107
FDT13,OUT045,2845.495835
FDO50,OUT045,1470.786408
NCU18,OUT010,416.9598247
NCR54,OUT049,3122.184459
NCO18,OUT018,2526.519131
FDU09,OUT045,974.832324
FDT13,OUT018,2658.823885
FDE09,OUT046,1844.585588
NCK53,OUT019,1.87167441
FDG45,OUT049,3382.126811
DRH15,OUT035,1029.15646
FDO21,OUT019,1630.716641
FDD14,OUT027,4324.388956
FDC09,OUT046,1708.894856
FDH45,OUT027,2309.003536
FDV32,OUT046,1170.081285
FDG12,OUT035,2088.232225
FDS32,OUT013,2273.481825
NCL55,OUT018,3569.414274
DRE01,OUT035,3867.605914
DRE15,OUT049,1433.345613
NCL42,OUT045,3701.899157
FDP31,OUT013,1184.378394
FDN33,OUT018,1315.045813
FDZ59,OUT046,2597.096046
FDE45,OUT010,952.4617739
FDJ07,OUT013,1962.212184
FDQ45,OUT018,2615.060707
FDM33,OUT027,4824.180861
FDO15,OUT010,1.87167441
FDM46,OUT013,1591.828078
FDR03,OUT045,3111.120565
FDY49,OUT018,2357.074444
FDQ60,OUT045,1868.715892
FDW10,OUT049,2850.877351
FDO51,OUT049,970.2046181
FDJ40,OUT018,1533.069543
FDS20,OUT018,2583.151308
FDU45,OUT013,1876.945053
FDV02,OUT035,2807.47775
FDN09,OUT046,3704.29901
NCM55,OUT027,4359.647155
FDN23,OUT018,2045.730448
FDY31,OUT010,478.3335134
FDW03,OUT010,1.87167441
FDD14,OUT046,2862.720776
FDV23,OUT017,2133.423302
DRI03,OUT045,2682.222548
FDN13,OUT035,1805.486006
FDF45,OUT027,2545.089622
FDU46,OUT035,1635.589474
FDB57,OUT049,3512.06081
FDV12,OUT049,1757.032409
FDQ58,OUT013,2430.057513
NCA18,OUT017,1993.931927
FDH52,OUT049,1209.113305
FDM24,OUT018,2124.262803
NCP43,OUT027,4280.625778
NCO18,OUT019,950.4927827
FDM32,OUT017,1639.802797
NCL07,OUT017,878.6014745
FDK03,OUT013,3889.996895
FDP59,OUT017,1798.260219
FDQ24,OUT049,3916.650716
FDQ16,OUT018,1544.508654
FDU44,OUT013,2566.200089
FDH28,OUT010,1.87167441
FDV28,OUT019,1.87167441
FDM22,OUT045,940.063147
FDR56,OUT046,3043.604574
FDV39,OUT049,3146.944415
FDU37,OUT019,1.87167441
FDQ11,OUT010,2070.614827
FDX02,OUT045,3366.247051
NCS42,OUT018,1301.762145
FDY57,OUT027,3043.903483
FDB21,OUT049,3791.006384
FDE28,OUT017,3622.826974
FDQ55,OUT017,1955.81395
FDA48,OUT049,3515.409609
FDZ19,OUT045,2663.182149
NCC43,OUT045,3779.001623
NCV18,OUT046,1411.360727
NCA42,OUT018,2251.863223
FDY45,OUT046,3905.238429
NCC30,OUT045,2727.000947
FDM57,OUT013,1490.002834
FDL09,OUT010,787.7585982
FDB09,OUT027,3474.720411
FDT44,OUT035,2084.468758
NCT06,OUT027,4039.234805
FDX26,OUT049,2953.717816
FDK32,OUT013,2457.714423
DRA12,OUT046,2283.455649
FDO46,OUT010,1089.545217
FDE52,OUT013,1508.028013
NCH42,OUT045,3461.486227
FDV08,OUT035,986.2969715
FDB47,OUT018,2989.697302
FDC28,OUT010,1.87167441
FDD22,OUT046,1866.485765
FDS07,OUT027,3338.12599
DRI13,OUT045,3272.023096
FDG32,OUT018,3165.802412
FDU14,OUT017,3914.641547
FDD28,OUT019,1.87167441
NCP41,OUT017,1902.56775
FDS08,OUT049,2835.148574
FDX47,OUT045,2422.354551
FDC53,OUT019,1.87167441
FDQ19,OUT035,3833.288581
FDL14,OUT045,2384.725596
FDM33,OUT019,1589.813241
FDA51,OUT045,1789.24267
FDZ27,OUT018,672.9027541
FDT04,OUT046,830.2138667
DRC13,OUT049,2116.429249
FDR16,OUT027,4760.436417
FDQ03,OUT027,5067.905414
FDE38,OUT035,2784.222038
DRH23,OUT027,2506.067956
FDT11,OUT019,1111.884336
FDD09,OUT035,2954.570415
FDR40,OUT045,1341.830453
FDX07,OUT017,2959.761781
FDR07,OUT035,1772.221072
FDA51,OUT017,1969.660994
FDT59,OUT019,1719.74724
FDF20,OUT017,3125.368647
FDR13,OUT045,1812.083715
FDY26,OUT049,3338.289279
FDW04,OUT017,2192.426235
FDK52,OUT017,3580.493685
FDN60,OUT049,2579.533066
FDM09,OUT019,870.5677163
FDP46,OUT049,1588.943256
FDB50,OUT019,1.87167441
NCQ29,OUT049,4033.263871
FDP16,OUT027,5198.817457
FDX33,OUT018,2281.853711
FDP07,OUT010,1197.127193
FDN22,OUT046,3831.410408
FDF39,OUT049,4074.204448
FDS21,OUT017,1204.207181
NCM42,OUT013,1801.724321
FDK50,OUT019,764.9046507
DRF13,OUT027,3791.29494
FDH35,OUT018,2321.816245
FDP60,OUT018,1400.23859
DRJ49,OUT027,3551.371032
NCT42,OUT019,548.273632
FDE38,OUT049,2730.011708
FDI04,OUT049,3172.682414
NCH54,OUT045,2427.547907
FDT56,OUT049,1174.870327
DRD15,OUT018,3300.026077
FDV58,OUT013,3040.780194
FDP21,OUT049,3007.453039
FDH05,OUT013,3597.767653
FDR10,OUT027,4000.213138
NCP06,OUT045,2306.645087
FDF33,OUT049,1854.567986
DRK37,OUT013,2962.24784
DRH49,OUT045,1374.680719
FDT58,OUT013,2663.810021
FDD41,OUT018,1469.287922
FDP40,OUT018,1555.421566
FDM51,OUT027,3143.884171
FDO45,OUT010,1.87167441
FDW33,OUT010,1.87167441
FDY24,OUT045,943.8637915
FDB10,OUT010,1799.796741
FDM40,OUT035,2411.467176
NCI06,OUT017,2922.170004
FDW12,OUT019,479.713322
FDX48,OUT027,3904.559294
NCW05,OUT027,3221.475659
FDX27,OUT017,1696.434975
DRM37,OUT045,3005.005655
FDA38,OUT045,3623.818647
FDR36,OUT046,812.5290015
FDZ45,OUT046,3082.663417
FDG05,OUT017,2601.832008
FDK28,OUT013,3966.195671
FDV47,OUT045,1396.091875
FDN21,OUT045,2465.176862
FDP20,OUT027,3509.000566
FDI35,OUT045,2768.882391
DRY23,OUT013,888.311331
FDA56,OUT017,2091.052836
FDB09,OUT013,2030.69814
NCO26,OUT027,3368.116478
FDQ49,OUT018,2216.153179
FDI52,OUT027,3440.440256
FDZ44,OUT027,3369.998212
FDZ09,OUT018,2328.024822
FDY03,OUT049,1949.807162
NCG42,OUT017,2193.856124
DRI13,OUT027,4808.037416
FDQ32,OUT013,2065.504494
FDW16,OUT035,1686.013074
FDU27,OUT046,912.5096889
FDR28,OUT010,731.1264209
FDQ49,OUT010,664.5221988
FDS37,OUT046,1900.728743
FDW26,OUT018,3130.055191
FDX12,OUT018,3425.218564
NCP06,OUT013,2424.375135
FDW45,OUT010,479.7634023
NCN30,OUT049,1684.145255
FDN24,OUT049,1091.522107
NCL41,OUT027,2159.465761
FDR02,OUT019,1.87167441
FDD09,OUT010,989.6017065
FDS33,OUT010,1.87167441
FDU22,OUT045,1880.19218
FDI53,OUT013,2592.916132
DRH01,OUT049,2845.683995
FDX32,OUT013,2313.444359
NCP30,OUT018,546.3175551
FDB60,OUT045,2971.214522
FDB14,OUT049,1668.00181
NCP02,OUT035,1215.233614
FDJ10,OUT017,2343.319545
FDG34,OUT046,1820.314655
NCB18,OUT017,1592.164621
FDM16,OUT049,1393.797747
FDW25,OUT018,1180.333126
FDB35,OUT010,1.87167441
DRN11,OUT013,2317.245003
FDF41,OUT019,1976.829813
FDH16,OUT045,1430.786697
NCQ50,OUT018,3016.301814
DRH23,OUT018,794.820796
DRJ37,OUT013,2441.044779
DRJ24,OUT027,4332.479267
FDY16,OUT035,3007.890969
FDQ27,OUT045,1674.096582
FDZ33,OUT045,2294.791308
FDF29,OUT045,2047.755133
FDA08,OUT049,2665.214865
FDG31,OUT046,1171.963019
FDE34,OUT019,1049.080758
NCR30,OUT027,2744.976642
FDV33,OUT035,4076.072267
DRZ24,OUT018,1696.831852
NCL54,OUT035,2866.028838
FDR12,OUT049,2804.254396
NCC54,OUT046,3699.105654
DRN59,OUT013,925.4140865
FDX50,OUT019,4.681371775
FDV31,OUT027,4241.604112
NCA29,OUT027,4161.152846
FDW60,OUT049,2860.886573
FDX08,OUT017,2944.559203
DRD49,OUT013,3650.072987
FDD33,OUT046,3546.745279
FDW35,OUT013,873.0715757
FDJ36,OUT017,1807.817596
FDV51,OUT035,2764.203594
FDW36,OUT046,1762.215411
FDH35,OUT046,2602.852779
NCS30,OUT027,3562.810143
FDN49,OUT017,882.891141
FDL08,OUT018,3495.208763
FDI09,OUT013,3702.00083
FDP19,OUT018,1828.684762
FDU21,OUT010,1.87167441
NCP41,OUT045,1709.280427
FDY10,OUT013,1879.315809
FDP12,OUT018,496.3458
NCN26,OUT049,1992.140451
FDK44,OUT013,2763.790708
FDC28,OUT049,1892.685963
FDJ41,OUT027,5454.470142
NCT29,OUT035,2151.599179
NCH42,OUT019,1693.068374
FDU60,OUT018,2367.009311
FDS02,OUT045,2932.118501
FDC51,OUT046,1999.731386
FDU03,OUT013,2880.403862
FDX39,OUT045,3197.780408
NCY05,OUT010,1.87167441
NCL06,OUT027,5407.28381
FDD32,OUT035,1529.40021
NCN41,OUT045,1925.385246
NCX53,OUT049,2355.826957
FDU57,OUT019,570.1738094
FDQ23,OUT046,1727.483411
FDQ52,OUT045,3730.911602
FDC14,OUT045,743.9024169
FDY09,OUT035,2913.21517
FDQ28,OUT045,2407.151973
FDV25,OUT046,3400.630658
FDJ07,OUT035,2046.839803
DRB25,OUT049,1849.337453
FDK52,OUT019,1650.246063
FDY52,OUT027,2593.179643
FDB28,OUT046,3068.853551
FDT36,OUT035,901.1041946
FDV25,OUT017,3512.422397
NCN07,OUT027,3555.134499
FDC57,OUT017,3099.705002
FDQ03,OUT018,3362.37781
FDU23,OUT017,2725.594606
NCX41,OUT035,3425.387052
NCD06,OUT035,1052.938371
FDW08,OUT045,1695.959582
NCU29,OUT017,2410.412789
NCE06,OUT013,2570.978777
FDV52,OUT010,89.47238418
FDB02,OUT017,2861.700005
NCR18,OUT045,783.4502823
FDK16,OUT049,1682.263521
NCQ29,OUT010,2102.487049
FDZ01,OUT019,1.87167441
FDW27,OUT035,2630.468951
FDD17,OUT018,3379.047454
FDW39,OUT013,2794.722063
DRH59,OUT045,1208.510477
FDS52,OUT013,1723.229143
FDU40,OUT027,4481.979865
NCF54,OUT013,2751.899752
FDH46,OUT045,1640.268272
NCP14,OUT049,1814.116431
FDH50,OUT049,2980.848527
DRF15,OUT010,598.3326445
FDV27,OUT027,2940.611173
NCJ06,OUT049,2050.728716
FDN02,OUT018,2915.38026
FDQ51,OUT049,989.6596857
FDQ07,OUT017,3521.00173
FDS45,OUT049,1836.016608
NCJ06,OUT045,1902.581379
FDD36,OUT035,2061.101514
FDY25,OUT045,2780.810524
FDU52,OUT046,2455.722937
DRK47,OUT017,3582.827263
NCL30,OUT017,2172.444969
FDN22,OUT035,3986.589824
NCF30,OUT027,3495.190699
FDK03,OUT035,4048.978733
FDT45,OUT017,1123.793093
NCC54,OUT027,5116.44728
FDP08,OUT018,2770.732705
FDU44,OUT046,2574.292179
DRG39,OUT035,1140.050059
FDU32,OUT049,2075.940516
FDY27,OUT049,2885.157506
NCP54,OUT013,2028.816406
NCZ41,OUT049,2140.700182
DRL49,OUT013,2320.63098
FDI05,OUT018,1070.417571
FDY56,OUT045,3408.654694
DRC13,OUT013,2055.984294
NCV29,OUT017,2903.618626
FDR24,OUT049,1604.672034
FDZ34,OUT018,2714.026174
FDP37,OUT035,2193.895291
FDX08,OUT027,4277.276979
FDS57,OUT045,2192.402688
NCG18,OUT049,1796.994942
FDK25,OUT018,2393.236332
FDH53,OUT049,1489.940613
DRI59,OUT018,3166.254257
FDA52,OUT046,2774.216377
FDT20,OUT010,1.87167441
FDE36,OUT019,751.998474
FDI24,OUT017,2834.532117
FDB28,OUT018,2826.424016
FDV11,OUT017,2865.537827
FDP01,OUT046,2444.35818
FDD34,OUT027,4002.583894
FDJ50,OUT027,2435.099713
FDZ44,OUT013,1964.58294
DRO59,OUT035,1468.967388
DRB48,OUT045,730.1297276
FDR21,OUT018,2484.60051
NCE42,OUT010,1760.286052
FDO23,OUT046,1576.063903
NCE30,OUT018,3014.42008
FDQ22,OUT035,923.9080618
FDY01,OUT045,1819.722181
FDS08,OUT017,2878.858671
FDG28,OUT018,3505.217985
FDQ51,OUT018,666.279509
FDB05,OUT017,3903.239614
FDO56,OUT049,1999.289895
FDE02,OUT018,1292.656613
FDN45,OUT017,3527.624975
FDS09,OUT013,969.6662863
NCA54,OUT018,2571.749374
FDP09,OUT010,1445.630434
FDC53,OUT045,1586.00685
NCM55,OUT017,3004.051158
FDL09,OUT018,2395.155243
FDA11,OUT019,1.87167441
FDA50,OUT045,1521.69903
FDC23,OUT017,2895.039293
FDE22,OUT049,2604.293021
FDD23,OUT046,2912.240686
NCA29,OUT049,2801.88364
FDK38,OUT046,2342.910427
DRC13,OUT046,1979.712943
NCP43,OUT049,2894.188684
FDX28,OUT049,1757.973276
FDF08,OUT049,1617.57821
FDZ33,OUT046,2377.716781
FDD10,OUT049,2886.587395
FDO58,OUT017,2658.878853
FDI50,OUT017,3626.664795
FDO58,OUT045,2539.945749
FDX08,OUT013,2857.562818
NCK17,OUT010,1.87167441
FDF39,OUT035,4132.704444
FDU45,OUT010,5.183296959
NCJ18,OUT018,1659.202897
DRC27,OUT019,1948.721059
DRC25,OUT035,1603.191053
FDU59,OUT035,2682.285262
FDU28,OUT035,3096.469723
NCP30,OUT046,825.9242002
FDB39,OUT018,765.7339972
FDE41,OUT013,1505.24259
DRH11,OUT010,1.87167441
FDA58,OUT045,3545.738137
FDU50,OUT046,1888.837787
FDM34,OUT013,2123.040361
FDM44,OUT027,3148.625682
FDR39,OUT045,2798.421035
FDM25,OUT045,2681.770704
FDQ49,OUT049,2569.561021
DRH25,OUT018,725.771464
FDM09,OUT027,4134.963002
FDL44,OUT019,732.0172074
NCR42,OUT018,440.6173124
DRL59,OUT046,993.9018213
FDX43,OUT013,2677.657064
DRK47,OUT010,1644.087566
FDU48,OUT018,1861.046006
FDY12,OUT045,887.6834591
NCN43,OUT018,1730.133963
NCM55,OUT018,2609.792997
FDQ21,OUT027,3451.427522
FDX13,OUT035,3974.247023
NCK30,OUT027,5313.059855
FDG20,OUT049,2840.379108
DRG27,OUT017,908.1401181
FDY14,OUT018,3756.995671
FDP59,OUT035,1854.516895
FDU60,OUT017,2754.118029
NCC18,OUT019,890.0599609
DRJ39,OUT017,3455.26402
FDS07,OUT049,1954.548674
FDM08,OUT027,4871.781861
FDP51,OUT045,1891.63129
FDU16,OUT035,1557.471787
FDH12,OUT013,1792.241298
DRE48,OUT010,1203.787615
